#Doc,Entidad,Jaccard,Jaccard,SpaCy,SpaCy,SorensenDice,SorensenDice
,,idElegida,resultado,idElegida,resultado,idElegida,resultado
324,Imdb,bn:02220931n,0.03076923076923077,bn:02220931n,0.5929459813185777,bn:02220931n,0.05970149253731343
328,Google,bn:03088680n,0.07692307692307693,bn:00041092n,0.7455160466850669,bn:03088680n,0.14285714285714285
328,CPC,bn:01777313n,0.02857142857142857,bn:03101129n,0.6344748998894295,bn:01777313n,0.05555555555555555
332,NLP,bn:00045156n,0.06,bn:00045156n,0.82977738491843,bn:00045156n,0.11320754716981132
334,Social Discovery,bn:03541542n,0.12903225806451613,bn:03541542n,0.7796177589074561,bn:03541542n,0.22857142857142856
337,Facebook,bn:01773790n,0.03305785123966942,bn:03365253n,0.7765631043452023,bn:01773790n,0.064
338,Company,bn:00022811n,0.043478260869565216,bn:00022811n,0.8264481902572682,bn:00022811n,0.08333333333333333
342,Facebook,bn:03624775n,0.014634146341463415,bn:03365253n,0.8655008964639231,bn:03624775n,0.028846153846153848
342,LAKERS,bn:03596024n,0.015,bn:03596024n,0.6878107407368708,bn:03596024n,0.029556650246305417
344,OCR,bn:03268468n,0.06818181818181818,bn:03268468n,0.8701855180827525,bn:03268468n,0.1276595744680851
349,Index,bn:00046419n,0.043478260869565216,bn:02674834n,0.7163937476665372,bn:00046419n,0.08333333333333333
352,BTC,bn:17260104n,0.015625,bn:00325281n,0.6384414258940414,bn:17260104n,0.03076923076923077
360,Chevron,bn:03629355n,0.02702702702702703,bn:03629355n,0.7620799239459849,bn:03629355n,0.05263157894736842
362,State,bn:02220665n,0.06779661016949153,bn:16872986n,0.8590144773463763,bn:02220665n,0.12698412698412698
363,ISO,bn:02819954n,0.05555555555555555,bn:02261513n,0.817342712136533,bn:02819954n,0.10526315789473684
364,EPA,bn:00031077n,0.007692307692307693,bn:00031077n,0.7963227437818342,bn:00031077n,0.015267175572519083
367,NFL,bn:02898926n,0.05172413793103448,bn:02120153n,0.7859833417843624,bn:02898926n,0.09836065573770492
377,ITA,bn:01895151n,0.02040816326530612,bn:01895151n,0.8086023704422127,bn:01895151n,0.04
377,Small Business Administration,bn:00069444n,0.13043478260869565,bn:00069444n,0.8632809062501197,bn:00069444n,0.23076923076923078
379,ATOM,bn:14191694n,0.047619047619047616,bn:14191694n,0.8095473645460406,bn:14191694n,0.09090909090909091
390,NASA,bn:02434547n,0.008368200836820083,bn:00056879n,0.8140079776388146,bn:02434547n,0.016597510373443983
390,YouTube,bn:02873520n,0.004405286343612335,bn:02873520n,0.7159256889904576,bn:02873520n,0.008771929824561403
409,Application Programming Interface,bn:02130401n,0.028368794326241134,bn:02130401n,0.7153740194431596,bn:02130401n,0.05517241379310345
411,SLA,bn:13642512n,0.0,bn:13642511n,0.7738297380975275,bn:13642512n,0.0
413,Sida,bn:00039671n,0.024390243902439025,bn:03555984n,0.7499997473132567,bn:00039671n,0.047619047619047616
413,Ministry for Foreign Affairs,bn:00533310n,0.10526315789473684,bn:00035831n,0.7449358180791049,bn:00533310n,0.19047619047619047
414,LMS,bn:00161798n,0.0,bn:00161798n,0.6329808081413514,bn:00161798n,0.0
415,Stock Photos,bn:03599002n,0.041666666666666664,bn:03599002n,0.48673983795303244,bn:03599002n,0.08
421,Google,bn:03088680n,0.03333333333333333,bn:00041092n,0.8289804184240487,bn:03088680n,0.06451612903225806
428,Wikipedia,bn:02636476n,0.00974025974025974,bn:00570351n,0.8348824696470267,bn:02636476n,0.01929260450160772
440,CSS,bn:01642119n,0.05084745762711865,bn:01642119n,0.8231137081300564,bn:01642119n,0.0967741935483871
453,Health Insurance Marketplace,bn:15631241n,0.06557377049180328,bn:15631241n,0.8294015714187412,bn:15631241n,0.12307692307692308
455,USPS,bn:00079136n,0.018867924528301886,bn:00079136n,0.8988853438552796,bn:00079136n,0.037037037037037035
464,Entity,bn:00031027n,0.023952095808383235,bn:02556711n,0.8529573229426017,bn:00031027n,0.04678362573099415
471,NLP,bn:00045156n,0.0,bn:00045156n,0.8451863275996133,bn:00045156n,0.0
485,Startup,bn:00586852n,0.013452914798206279,bn:03140436n,0.7355187638487395,bn:00586852n,0.02654867256637168
488,Signature Request,bn:17372005n,0.0189873417721519,bn:17372005n,0.6951128838155305,bn:17372005n,0.037267080745341616
489,CSS,bn:01642119n,0.05084745762711865,bn:01642119n,0.8231137081300564,bn:01642119n,0.0967741935483871
500,ITA,bn:00266323n,0.0,bn:01895151n,0.7987756401271807,bn:00266323n,0.0
504,Terms of Service,bn:03801411n,0.017543859649122806,bn:03801411n,0.7736698040454516,bn:03801411n,0.034482758620689655
506,League,bn:00021722n,0.05405405405405406,bn:16428274n,0.7360282577854581,bn:00021722n,0.10256410256410256
510,Wikipedia,bn:03288118n,0.023255813953488372,bn:02546004n,0.7597864736880473,bn:03288118n,0.045454545454545456
514,USPS,bn:00079136n,0.0136986301369863,bn:00079136n,0.8127888302452068,bn:00079136n,0.02702702702702703
519,Voice Actions,bn:03419461n,0.037037037037037035,bn:03419461n,0.7934108996748961,bn:03419461n,0.07142857142857142
520,PNG,bn:01772322n,0.031496062992125984,bn:01772322n,0.8642439379031844,bn:01772322n,0.061068702290076333
522,ITA,bn:00266323n,0.0,bn:01895151n,0.782361611698711,bn:00266323n,0.0
525,NCAA,bn:01201074n,0.0,bn:03439210n,0.6343003681251372,bn:01201074n,0.0
530,Microsoft,bn:01165400n,0.0196078431372549,bn:01165400n,0.7793020382543762,bn:01165400n,0.038461538461538464
531,Pearson Correlation,bn:00061204n,0.029411764705882353,bn:00061204n,0.7859910754106559,bn:00061204n,0.05714285714285714
534,Wikipedia,bn:03288118n,0.025,bn:00570351n,0.7904293239718652,bn:03288118n,0.04878048780487805
547,Wikipedia,bn:02546004n,0.046511627906976744,bn:00570351n,0.7575133787054479,bn:02546004n,0.08888888888888889
547,NLP,bn:00045156n,0.021739130434782608,bn:00045156n,0.731383269371601,bn:00045156n,0.0425531914893617
554,ABA,bn:01051661n,0.008064516129032258,bn:00269888n,0.6971488152749672,bn:01051661n,0.016
557,Google,bn:03088680n,0.15384615384615385,bn:00212508n,0.7853822760836845,bn:03088680n,0.26666666666666666
559,Google Translate,bn:02590096n,0.1,bn:02590096n,0.7915436516670802,bn:02590096n,0.18181818181818182
562,CSS,bn:01642119n,0.0684931506849315,bn:01642119n,0.8578036688750446,bn:01642119n,0.1282051282051282
579,Adzuna,bn:02778420n,0.05454545454545454,bn:02778420n,0.73130588000048,bn:02778420n,0.10344827586206896
581,Google,bn:03088680n,0.03,bn:03088680n,0.7653494303422417,bn:03088680n,0.05825242718446602
586,BTC,bn:17260104n,0.016666666666666666,bn:00325281n,0.6935676793821048,bn:17260104n,0.03278688524590164
591,Entities,bn:00031027n,0.023255813953488372,bn:00606250n,0.689998895292038,bn:00031027n,0.045454545454545456
599,AHold,bn:03603648n,0.017094017094017096,bn:03603648n,0.7168680242855703,bn:03603648n,0.03361344537815126
605,Custom Domain,bn:17374030n,0.023622047244094488,bn:17374030n,0.6679103690720262,bn:17374030n,0.046153846153846156
606,JWT,bn:15673523n,0.018518518518518517,bn:15673523n,0.7771384618032211,bn:15673523n,0.03636363636363636
606,Facebook,bn:01773790n,0.018691588785046728,bn:03624775n,0.7603257925101315,bn:01773790n,0.03669724770642202
607,EU,bn:00006894n,0.07142857142857142,bn:00608762n,0.7531263892083279,bn:00006894n,0.13333333333333333
613,NLP,bn:00045156n,0.03225806451612903,bn:00045156n,0.7340170686906885,bn:00045156n,0.0625
616,ASX,bn:01239910n,0.039473684210526314,bn:02264979n,0.8825102719393887,bn:01239910n,0.0759493670886076
619,YAML,bn:02619566n,0.047619047619047616,bn:02619566n,0.7440719796105318,bn:02619566n,0.09090909090909091
620,CSV,bn:03284335n,0.02247191011235955,bn:03284335n,0.7996029120829883,bn:03284335n,0.04395604395604396
623,Assembly,bn:03614013n,0.023255813953488372,bn:15907833n,0.7907028278721585,bn:03614013n,0.045454545454545456
623,Wizards,bn:01625459n,0.011627906976744186,bn:03825978n,0.7856548738264363,bn:01625459n,0.022988505747126436
623,Index,bn:00046419n,0.03333333333333333,bn:00046418n,0.8862686438926528,bn:00046419n,0.06451612903225806
624,Entity Extraction,bn:01178863n,0.041237113402061855,bn:01178863n,0.8091156036169489,bn:01178863n,0.07920792079207921
624,Wikipedia,bn:02636476n,0.024390243902439025,bn:00570351n,0.7873984292334725,bn:02636476n,0.047619047619047616
630,Bell,bn:00009731n,0.0196078431372549,bn:00009732n,0.8149997094303775,bn:00009731n,0.038461538461538464
632,European Union,bn:00021127n,0.05263157894736842,bn:00021127n,0.8780243689491025,bn:00021127n,0.1
632,EU,bn:00021127n,0.05263157894736842,bn:00021127n,0.8780243689491025,bn:00021127n,0.1
640,Recognition,bn:00066411n,0.04081632653061224,bn:00066554n,0.8355786066925116,bn:00066411n,0.0784313725490196
641,Sentiment Analysis,bn:03488216n,0.12307692307692308,bn:03488216n,0.8969817997873724,bn:03488216n,0.2191780821917808
642,Datapoint,bn:02828436n,0.01680672268907563,bn:02828436n,0.5962634050259276,bn:02828436n,0.03305785123966942
642,DataPoint,bn:02828436n,0.01680672268907563,bn:02828436n,0.5962634050259276,bn:02828436n,0.03305785123966942
642,ATag,bn:01050677n,0.015503875968992248,bn:01050677n,0.7842960761355607,bn:01050677n,0.030534351145038167
642,Group,bn:01102027n,0.02608695652173913,bn:00041943n,0.7766246367375544,bn:01102027n,0.05084745762711865
645,Organization,bn:15597777n,0.0125,bn:01307176n,0.8075400647095616,bn:15597777n,0.024691358024691357
650,CMS,bn:00623148n,0.027777777777777776,bn:02221901n,0.7595214706976392,bn:00623148n,0.05405405405405406
653,Voice To Text,bn:02309436n,0.031914893617021274,bn:02309436n,0.8663267892346556,bn:02309436n,0.061855670103092786
656,Register,bn:00282791n,0.03389830508474576,bn:00066895n,0.7620045048938898,bn:00282791n,0.06557377049180328
656,Search,bn:00343311n,0.022727272727272728,bn:00051979n,0.7673266052996975,bn:00343311n,0.044444444444444446
659,NOAA,bn:00056938n,0.03529411764705882,bn:00056938n,0.7188278944464013,bn:00056938n,0.06818181818181818
665,Treasury,bn:00026339n,0.027777777777777776,bn:00078120n,0.8315292410490529,bn:00026339n,0.05405405405405406
667,Post,bn:01500184n,0.02127659574468085,bn:01500184n,0.8483354598554986,bn:01500184n,0.041666666666666664
668,FundAmerica,bn:01969059n,0.029411764705882353,bn:01969059n,0.6787967757822808,bn:01969059n,0.05714285714285714
674,FEMA,bn:00033908n,0.05970149253731343,bn:00033908n,0.8356573037444721,bn:00033908n,0.11267605633802817
676,ASI,bn:01795056n,0.014925373134328358,bn:01970798n,0.8047275997760164,bn:01795056n,0.029411764705882353
678,Bitcoin,bn:02189275n,0.04,bn:02189275n,0.8669833848434426,bn:02189275n,0.07692307692307693
678,BTC,bn:17260104n,0.030303030303030304,bn:00325281n,0.7514532908282505,bn:17260104n,0.058823529411764705
678,Index,bn:00950992n,0.05194805194805195,bn:00046418n,0.8590921096058619,bn:00950992n,0.09876543209876543
682,CSV,bn:03284335n,0.0,bn:03284335n,0.7996348669133707,bn:03284335n,0.0
694,Countries,bn:00023235n,0.06666666666666667,bn:00023235n,0.7112502895079411,bn:00023235n,0.125
694,Capital City,bn:00064917n,0.11428571428571428,bn:02499427n,0.8077883465496928,bn:00064917n,0.20512820512820512
703,Public Data,bn:01701182n,0.03333333333333333,bn:01701182n,0.7515524590220402,bn:01701182n,0.06451612903225806
703,Bureau,bn:00013948n,0.04477611940298507,bn:00001961n,0.857411975849392,bn:00013948n,0.08571428571428572
703,BLS,bn:16036004n,0.029850746268656716,bn:00707636n,0.8602417006376962,bn:16036004n,0.057971014492753624
707,Drill,bn:03733962n,0.025,bn:14238996n,0.8151844412755738,bn:03733962n,0.04878048780487805
714,Face Recognition,bn:00007361n,0.02459016393442623,bn:00007361n,0.8465384537357545,bn:00007361n,0.048
721,Instagram,bn:02513416n,0.011235955056179775,bn:02513416n,0.7466808103797364,bn:02513416n,0.022222222222222223
721,Post,bn:01500184n,0.0375,bn:03736216n,0.8136109078374631,bn:01500184n,0.07228915662650602
722,ATC,bn:03738440n,0.031914893617021274,bn:03738440n,0.7870796479901321,bn:03738440n,0.061855670103092786
727,Royal Netherlands Meteorological Institute,bn:03155640n,0.1111111111111111,bn:03155640n,0.8109055512868402,bn:03155640n,0.2
729,Trading Post,bn:03282812n,0.05714285714285714,bn:03282812n,0.6954925181768921,bn:03282812n,0.10810810810810811
736,New Group,bn:16202170n,0.022727272727272728,bn:16202170n,0.6628543158663336,bn:16202170n,0.044444444444444446
736,Email,bn:00029345n,0.05185185185185185,bn:00029345n,0.7121860238883111,bn:00029345n,0.09859154929577464
739,NLP,bn:00045156n,0.05128205128205128,bn:00045156n,0.7761704828585683,bn:00045156n,0.0975609756097561
741,PNG,bn:01772322n,0.04225352112676056,bn:03755410n,0.7495115704300788,bn:01772322n,0.08108108108108109
744,Voice,bn:00072788n,0.028037383177570093,bn:17365628n,0.8084796771720184,bn:00072788n,0.05454545454545454
744,Plivo,bn:16583903n,0.07526881720430108,bn:16583903n,0.6476495804020578,bn:16583903n,0.14
744,Unicode,bn:02574237n,0.03636363636363636,bn:02574237n,0.8906913148211526,bn:02574237n,0.07017543859649122
752,CBS,bn:03090057n,0.008620689655172414,bn:03090057n,0.7335331482555173,bn:03090057n,0.017094017094017096
752,Hoppit,bn:14727079n,0.017241379310344827,bn:14727079n,0.7027954926023275,bn:14727079n,0.03389830508474576
775,Quotes,bn:00019268n,0.030303030303030304,bn:00019268n,0.5090530517586243,bn:00019268n,0.058823529411764705
776,SEPTA,bn:01980123n,0.041666666666666664,bn:01980123n,0.7189240389906598,bn:01980123n,0.08
778,UPC,bn:00008480n,0.04225352112676056,bn:00008480n,0.8123068537276844,bn:00008480n,0.08108108108108109
779,Company Check,bn:01694753n,0.02631578947368421,bn:01694753n,0.5582555940372648,bn:01694753n,0.05128205128205128
779,Response Message,bn:17373502n,0.05,bn:17373502n,0.6430939270456042,bn:17373502n,0.09523809523809523
780,RGB,bn:01953314n,0.043478260869565216,bn:00024680n,0.8291597938639615,bn:01953314n,0.08333333333333333
780,EXIF,bn:02439466n,0.018072289156626505,bn:02439466n,0.7491937148837788,bn:02439466n,0.03550295857988166
788,CSV,bn:03284335n,0.014005602240896359,bn:03284335n,0.8059283079490233,bn:03284335n,0.027624309392265192
788,LivingSocial,bn:02000508n,0.0056022408963585435,bn:02000508n,0.7325020391147662,bn:02000508n,0.011142061281337047
790,Airways,bn:17258593n,0.0,bn:17258593n,0.8394991964110641,bn:17258593n,0.0
796,Post,bn:00030557n,0.0392156862745098,bn:01500184n,0.6258981073457145,bn:00030557n,0.07547169811320754
800,Companies House,bn:03883455n,0.045454545454545456,bn:03883455n,0.6589172173074207,bn:03883455n,0.08695652173913043
805,Google,bn:00212508n,0.046511627906976744,bn:03088680n,0.8070896652569965,bn:00212508n,0.08888888888888889
811,ETAs,bn:16856605n,0.027777777777777776,bn:16856605n,0.7560867453938829,bn:16856605n,0.05405405405405406
811,Etas,bn:16856605n,0.027777777777777776,bn:16856605n,0.7560867453938829,bn:16856605n,0.05405405405405406
824,PNG,bn:01772322n,0.045454545454545456,bn:03755410n,0.7568611160961985,bn:01772322n,0.08695652173913043
828,Data Integration,bn:03251156n,0.023529411764705882,bn:03251156n,0.7209125470711859,bn:03251156n,0.04597701149425287
828,Service,bn:03387424n,0.022099447513812154,bn:00044916n,0.8246628760963703,bn:03387424n,0.043243243243243246
828,IBM,bn:03009112n,0.011904761904761904,bn:03009112n,0.7888247363678724,bn:03009112n,0.023529411764705882
830,Campbell,bn:00484404n,0.023809523809523808,bn:00597684n,0.7200635611134268,bn:00484404n,0.046511627906976744
831,SEC,bn:00068672n,0.015384615384615385,bn:01740450n,0.8247486392887047,bn:00068672n,0.030303030303030304
832,Google Play Store,bn:02851290n,0.045454545454545456,bn:02851290n,0.7373815562914765,bn:02851290n,0.08695652173913043
832,Google,bn:00041092n,0.06521739130434782,bn:00212508n,0.7258091708377274,bn:00041092n,0.12244897959183673
838,Global Data,bn:17372652n,0.03278688524590164,bn:17372652n,0.661444924967831,bn:17372652n,0.06349206349206349
842,Bureau,bn:00001961n,0.025,bn:00001961n,0.7717425860781437,bn:00001961n,0.04878048780487805
842,Census Bureau,bn:00013954n,0.04938271604938271,bn:00013954n,0.814991497970176,bn:00013954n,0.09411764705882353
844,IPTC,bn:00959139n,0.017391304347826087,bn:00959139n,0.8528198176622377,bn:00959139n,0.03418803418803419
851,Wikipedia,bn:02636476n,0.03636363636363636,bn:00570351n,0.7869080992728061,bn:02636476n,0.07017543859649122
856,Microsoft,bn:01300839n,0.0392156862745098,bn:01165400n,0.751917669970137,bn:01300839n,0.07547169811320754
857,Response Message,bn:17373502n,0.028037383177570093,bn:17373502n,0.8329724057407948,bn:17373502n,0.05454545454545454
858,ITA,bn:01895151n,0.022727272727272728,bn:01895151n,0.8579492691016237,bn:01895151n,0.044444444444444446
858,Foreign Service,bn:00035836n,0.09302325581395349,bn:00035836n,0.7726448184106571,bn:00035836n,0.1702127659574468
858,State Department,bn:00026336n,0.0625,bn:00026336n,0.7977840436577727,bn:00026336n,0.11764705882352941
863,Apple,bn:14792761n,0.016129032258064516,bn:00955003n,0.7936651053551279,bn:14792761n,0.031746031746031744
865,Monte Carlo Simulation,bn:03366337n,0.04,bn:03366337n,0.8244732838928919,bn:03366337n,0.07692307692307693
870,USDA,bn:00167700n,0.03333333333333333,bn:00002097n,0.7834006494865047,bn:00167700n,0.06451612903225806
